capcode,capcode_short,discipline,service,region,region_code,location,station,unit_type,unit_type_name,callsign,unit_number,description,remark,status,confidence,sources,source_urls
000100000,0100000,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Proefalarm,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100001,0100001,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,,,,,Bevelvoerders,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100004,0100004,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,,,,,Korpsalarm,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100005,0100005,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,,,,,Officier van Dienst Aalsmeer/UitHoorn,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100007,0100007,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,,,,,Chauffeurs,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100009,0100009,,,Amsterdam-Amstelland,,,,,,,,4 | BRW | Aalsmeer | Bezetting slagkracht TS,,ok,medium,tomzulu,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100010,0100010,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,TS,Tankautospuit,,611,Tankautospuit-611,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100011,0100011,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,TS,Tankautospuit,TS-3531,612,Tankautospuit-612,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100012,0100012,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,HA,Hulpverleningsvoertuig,,680,Hulpverleningsvoertuig-680,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100013,0100013,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,PM,,BRV-3561,,Brandweervaartuig-672,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100014,0100014,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,BRV,Dienstbus,DB-3501,666,Dienstbus-666,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100016,0100016,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,,,,,Dompelpomphaakarmbak-935,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100018,0100018,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,,,,,Schuimblusaanhanger-670,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100019,0100019,Brandweer,Brandweer,Amsterdam-Amstelland,,Aalsmeer,Aalsmeer,,,,,Lichtkrant Kazerne,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100091,0100091,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100099,0100099,,,Amsterdam-Amstelland,,,,,,,,11 | BRW | Aalsmeer | Noodprocedure,,ok,medium,tomzulu,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100100,0100100,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,Blusgroep 1,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100102,0100102,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,Blusgroep 2,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100104,0100104,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,OvD Zuid - spoed,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100105,0100105,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,OvD Zuid,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100106,0100106,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,Bevelvoerder van Dienst,BvD,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100108,0100108,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,Blusgroep 3,,ok,high,bommel;tomzulu,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100109,0100109,Brandweer,Brandweer,Amsterdam-Amstelland,,,Amstelveen,TS,,,,BRW Amsterdam-Amstelland/Kazerne Amstelveen (Alle vrijwilligers ),,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100110,0100110,Brandweer,Brandweer,Amsterdam-Amstelland,,,Amstelveen,,,,,BRW Amsterdam-Amstelland/Kazerne Amstelveen ( Bemanning COH ),,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100111,0100111,Brandweer,Brandweer,Amsterdam-Amstelland,,,Amstelveen,TS,,,,BRW Amsterdam-Amstelland/Kazerne Amstelveen ( Officieren Spoed ),,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100112,0100112,Brandweer,Brandweer,Amsterdam-Amstelland,,,Amstelveen,AL,,,,BRW Amsterdam-Amstelland/Kazerne Amstelveen ( Officieren ),,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100115,0100115,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,TS,Tankautospuit,,,Bemanning Tankautospuit / Waterongevallenvoertuig,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100116,0100116,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,Springbemanning,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100119,0100119,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,Lichtkrant Kazerne,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100120,0100120,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100121,0100121,Brandweer,Brandweer,Amsterdam-Amstelland,,,,TS,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100122,0100122,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100131,0100131,Brandweer,Brandweer,Amsterdam-Amstelland,,,,AB,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100181,0100181,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100191,0100191,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100192,0100192,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100193,0100193,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100200,0100200,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,BvD Beroeps,,ok,high,bommel;tomzulu,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126;https://p2000.bommel.net/cap2csv.php
000100201,0100201,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,TS/WO,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100210,0100210,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100211,0100211,Brandweer,Brandweer,Amsterdam-Amstelland,,,,TS,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100212,0100212,Brandweer,Brandweer,Amsterdam-Amstelland,,,,AL,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100219,0100219,Brandweer,Brandweer,Amsterdam-Amstelland,,Amstelveen,Amstelveen,,,,,Lichtkrant Beroeps,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100221,0100221,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100269,0100269,Brandweer,Brandweer,Amsterdam-Amstelland,,Amsterdam-Anton,Amsterdam-Anton,,,,,Kazernealarm,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100291,0100291,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100300,0100300,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100310,0100310,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100311,0100311,Brandweer,Brandweer,Amsterdam-Amstelland,,,,TS,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100312,0100312,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
000100350,0100350,Brandweer,Brandweer,Amsterdam-Amstelland,,Amsterdam-Dirk,Amsterdam-Dirk,,,,,TS,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100351,0100351,Brandweer,Brandweer,Amsterdam-Amstelland,,Amsterdam-Dirk,Amsterdam-Dirk,,,,,AL,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100369,0100369,Brandweer,Brandweer,Amsterdam-Amstelland,,Amsterdam-Dirk,Amsterdam-Dirk,,,,,Lichtkrant,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
000100391,0100391,Brandweer,Brandweer,Amsterdam-Amstelland,,,,,,,,Brandweer Amsterdam-Amstelland,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=495911126
